READ_NEME	REF_NAME	POS	STRAND	NUMBER_OF_ALIGNMENTS	HAMMING_DISTANCE
@D81P8DQ1:109:D1CW8ACXX:8:1108:6904:83859/2	chr15:28356359-28361359	456	-	1	1
@D81P8DQ1:109:D1CW8ACXX:8:1108:8374:52570/2	chr15:28356359-28361359	3511	-	1	0
@D81P8DQ1:109:D1CW8ACXX:8:1108:15480:54266/2	chr15:28356359-28361359	1479	-	1	0
@D81P8DQ1:109:D1CW8ACXX:8:1109:1832:86149/2	chr15:28356359-28361359	897	+	1	0
@D81P8DQ1:109:D1CW8ACXX:8:1109:3699:68535/2	chr15:28356359-28361359	2401	-	1	0
@D81P8DQ1:109:D1CW8ACXX:8:1109:9333:19089/2	chr15:28356359-28361359	4848	-	1	0
@D81P8DQ1:109:D1CW8ACXX:8:1109:9370:53603/2	chr15:28356359-28361359	368	+	1	0
@D81P8DQ1:109:D1CW8ACXX:8:1110:2510:92951/2	chr15:28356359-28361359	3959	-	1	0
@D81P8DQ1:109:D1CW8ACXX:8:1110:8670:57886/2	chr15:28356359-28361359	1517	+	1	1
@D81P8DQ1:109:D1CW8ACXX:8:1110:17105:71080/2	chr15:28356359-28361359	3727	-	1	0
@D81P8DQ1:109:D1CW8ACXX:8:1111:14962:19840/2	chr15:28356359-28361359	1881	-	1	0
@D81P8DQ1:109:D1CW8ACXX:8:1111:16305:62079/2	chr15:28356359-28361359	3915	+	1	0
@D81P8DQ1:109:D1CW8ACXX:8:1111:16410:98585/2	chr15:28356359-28361359	1643	+	1	0
@D81P8DQ1:109:D1CW8ACXX:8:1112:5763:40913/2	chr15:28356359-28361359	12	-	1	0
@D81P8DQ1:109:D1CW8ACXX:8:1112:11706:15201/2	*	0	*	0	*
@D81P8DQ1:109:D1CW8ACXX:8:1112:12601:18017/2	chr15:28356359-28361359	2900	-	1	1
@D81P8DQ1:109:D1CW8ACXX:8:1112:14844:71448/2	chr15:28356359-28361359	3062	+	1	0
@D81P8DQ1:109:D1CW8ACXX:8:1112:17777:10449/2	chr15:28356359-28361359	70	-	1	0
@D81P8DQ1:109:D1CW8ACXX:8:1112:20158:73532/2	chr15:28356359-28361359	4335	-	1	0
@D81P8DQ1:109:D1CW8ACXX:8:1112:20456:22448/2	*	0	*	0	*
@D81P8DQ1:109:D1CW8ACXX:8:1112:20903:30722/2	*	0	*	0	*
@D81P8DQ1:109:D1CW8ACXX:8:1113:2443:84604/2	chr15:28356359-28361359	3610	-	1	0
@D81P8DQ1:109:D1CW8ACXX:8:1113:3971:78990/2	chr15:28356359-28361359	3447	-	1	0
@D81P8DQ1:109:D1CW8ACXX:8:1113:16244:84259/2	*	0	*	0	*
@D81P8DQ1:109:D1CW8ACXX:8:1113:16360:47224/2	chr15:28356359-28361359	2450	+	1	0
@D81P8DQ1:109:D1CW8ACXX:8:1113:17571:45262/2	chr15:28356359-28361359	2718	+	1	0
@D81P8DQ1:109:D1CW8ACXX:8:1114:2215:53254/2	chr15:28356359-28361359	2986	+	1	0
@D81P8DQ1:109:D1CW8ACXX:8:1114:8808:77941/2	*	0	*	0	*
@D81P8DQ1:109:D1CW8ACXX:8:1114:13650:24016/2	chr15:28356359-28361359	239	-	1	0
@D81P8DQ1:109:D1CW8ACXX:8:1114:14566:31575/2	chr15:28356359-28361359	2281	-	1	0
@D81P8DQ1:109:D1CW8ACXX:8:1114:17790:41910/2	chr15:28356359-28361359	4268	+	1	0
@D81P8DQ1:109:D1CW8ACXX:8:1114:18266:78246/2	chr15:28356359-28361359	1967	-	1	0
@D81P8DQ1:109:D1CW8ACXX:8:1114:19089:45045/2	chr15:28356359-28361359	801	-	1	1
@D81P8DQ1:109:D1CW8ACXX:8:1115:10243:7404/2	chr15:28356359-28361359	3661	+	1	1
@D81P8DQ1:109:D1CW8ACXX:8:1116:3912:6597/2	*	0	*	0	*
@D81P8DQ1:109:D1CW8ACXX:8:1116:4287:98312/2	chr15:28356359-28361359	724	-	1	0
@D81P8DQ1:109:D1CW8ACXX:8:1116:10789:54075/2	chr15:28356359-28361359	2307	+	1	2
@D81P8DQ1:109:D1CW8ACXX:8:1116:12464:51850/2	chr15:28356359-28361359	4260	+	1	0
@D81P8DQ1:109:D1CW8ACXX:8:1116:17335:38345/2	chr15:28356359-28361359	2181	-	1	0
@D81P8DQ1:109:D1CW8ACXX:8:1202:9627:79074/2	chr15:28356359-28361359	4122	+	1	1
@D81P8DQ1:109:D1CW8ACXX:8:1203:3549:49224/2	chr15:28356359-28361359	983	+	1	0
@D81P8DQ1:109:D1CW8ACXX:8:1203:17380:84897/2	chr15:28356359-28361359	909	+	1	0
@D81P8DQ1:109:D1CW8ACXX:8:1203:20094:24208/2	chr15:28356359-28361359	3147	-	1	0
@D81P8DQ1:109:D1CW8ACXX:8:1204:9902:14536/2	chr15:28356359-28361359	712	+	1	0
@D81P8DQ1:109:D1CW8ACXX:8:1204:11905:66678/2	chr15:28356359-28361359	3802	+	1	0
@D81P8DQ1:109:D1CW8ACXX:8:1204:12265:47689/2	chr15:28356359-28361359	1661	-	1	0
@D81P8DQ1:109:D1CW8ACXX:8:1204:12999:85288/2	chr15:28356359-28361359	3233	-	1	0
@D81P8DQ1:109:D1CW8ACXX:8:1204:17021:78074/2	chr15:28356359-28361359	1964	+	1	0
@D81P8DQ1:109:D1CW8ACXX:8:1205:1900:2626/2	*	0	*	0	*
@D81P8DQ1:109:D1CW8ACXX:8:1205:3541:41050/2	chr15:28356359-28361359	396	-	1	0
@D81P8DQ1:109:D1CW8ACXX:8:1205:11146:5768/2	chr15:28356359-28361359	4323	+	1	0
@D81P8DQ1:109:D1CW8ACXX:8:1205:14291:99594/2	chr15:28356359-28361359	2391	+	1	0
@D81P8DQ1:109:D1CW8ACXX:8:1206:2490:82888/2	chr15:28356359-28361359	3045	-	1	0
@D81P8DQ1:109:D1CW8ACXX:8:1206:7655:2999/2	chr15:28356359-28361359	3047	+	1	0
@D81P8DQ1:109:D1CW8ACXX:8:1206:8064:75389/2	chr15:28356359-28361359	1332	+	1	0
@D81P8DQ1:109:D1CW8ACXX:8:1206:14500:68757/2	chr15:28356359-28361359	2554	+	1	0
@D81P8DQ1:109:D1CW8ACXX:8:1207:6435:88553/2	chr15:28356359-28361359	2376	+	1	0
@D81P8DQ1:109:D1CW8ACXX:8:1207:11535:39088/2	chr15:28356359-28361359	1839	-	1	0
@D81P8DQ1:109:D1CW8ACXX:8:1207:12199:94089/2	*	0	*	0	*
@D81P8DQ1:109:D1CW8ACXX:8:1207:14347:40580/2	chr15:28356359-28361359	217	+	1	0
@D81P8DQ1:109:D1CW8ACXX:8:1207:15219:54297/2	*	0	*	0	*
@D81P8DQ1:109:D1CW8ACXX:8:1207:18103:31865/2	chr15:28356359-28361359	1481	+	1	0
@D81P8DQ1:109:D1CW8ACXX:8:1208:5323:21678/2	chr15:28356359-28361359	2942	+	1	0
@D81P8DQ1:109:D1CW8ACXX:8:1208:7787:15165/2	chr15:28356359-28361359	1485	+	1	0
@D81P8DQ1:109:D1CW8ACXX:8:1208:8503:54357/2	chr15:28356359-28361359	2239	+	1	0
@D81P8DQ1:109:D1CW8ACXX:8:1208:11108:18037/2	chr15:28356359-28361359	3944	-	1	0
@D81P8DQ1:109:D1CW8ACXX:8:1208:12667:29224/2	chr15:28356359-28361359	1246	-	1	0
@D81P8DQ1:109:D1CW8ACXX:8:1208:14015:8191/2	chr15:28356359-28361359	1529	-	1	0
@D81P8DQ1:109:D1CW8ACXX:8:1208:16812:43002/2	chr15:28356359-28361359	2595	-	1	0
@D81P8DQ1:109:D1CW8ACXX:8:1208:17149:25209/2	chr15:28356359-28361359	1678	+	1	0
@D81P8DQ1:109:D1CW8ACXX:8:1208:21122:30601/2	*	0	*	0	*
@D81P8DQ1:109:D1CW8ACXX:8:1209:2362:24357/2	chr15:28356359-28361359	1393	-	1	1
@D81P8DQ1:109:D1CW8ACXX:8:1209:7179:29374/2	chr15:28356359-28361359	2899	+	1	1
@D81P8DQ1:109:D1CW8ACXX:8:1209:9717:100126/2	*	0	*	0	*
@D81P8DQ1:109:D1CW8ACXX:8:1209:15091:90901/2	chr15:28356359-28361359	4531	+	1	0
@D81P8DQ1:109:D1CW8ACXX:8:1209:17850:68246/2	chr15:28356359-28361359	1323	+	1	0
@D81P8DQ1:109:D1CW8ACXX:8:1210:14130:4527/2	chr15:28356359-28361359	591	-	1	0
@D81P8DQ1:109:D1CW8ACXX:8:1210:14938:19130/2	chr15:28356359-28361359	2206	-	1	0
@D81P8DQ1:109:D1CW8ACXX:8:1211:3759:42176/2	chr15:28356359-28361359	3624	+	1	1
@D81P8DQ1:109:D1CW8ACXX:8:1211:16667:52261/2	chr15:28356359-28361359	3681	+	1	1
@D81P8DQ1:109:D1CW8ACXX:8:1211:18416:69335/2	chr15:28356359-28361359	884	+	1	0
@D81P8DQ1:109:D1CW8ACXX:8:1211:19108:53018/2	chr15:28356359-28361359	3248	+	1	0
@D81P8DQ1:109:D1CW8ACXX:8:1211:19910:58451/2	*	0	*	0	*
@D81P8DQ1:109:D1CW8ACXX:8:1212:2069:68194/2	chr15:28356359-28361359	2358	-	1	0
@D81P8DQ1:109:D1CW8ACXX:8:1212:3331:18726/2	*	0	*	0	*
@D81P8DQ1:109:D1CW8ACXX:8:1212:8100:43510/2	chr15:28356359-28361359	4331	+	1	1
@D81P8DQ1:109:D1CW8ACXX:8:1212:10077:58030/2	chr15:28356359-28361359	1582	+	1	0
@D81P8DQ1:109:D1CW8ACXX:8:1212:11489:98509/2	*	0	*	0	*
@D81P8DQ1:109:D1CW8ACXX:8:1212:12240:35291/2	*	0	*	0	*
@D81P8DQ1:109:D1CW8ACXX:8:1212:16901:23122/2	chr15:28356359-28361359	3663	-	1	1
@D81P8DQ1:109:D1CW8ACXX:8:1212:20066:94961/2	*	0	*	0	*
@D81P8DQ1:109:D1CW8ACXX:8:1213:14050:29923/2	chr15:28356359-28361359	576	+	1	0
@D81P8DQ1:109:D1CW8ACXX:8:1213:15462:44267/2	chr15:28356359-28361359	1381	+	1	1
@D81P8DQ1:109:D1CW8ACXX:8:1214:2498:64625/2	chr15:28356359-28361359	1548	-	1	0
@D81P8DQ1:109:D1CW8ACXX:8:1214:7616:24905/2	chr15:28356359-28361359	3624	-	1	1
@D81P8DQ1:109:D1CW8ACXX:8:1214:7655:89935/2	*	0	*	0	*
@D81P8DQ1:109:D1CW8ACXX:8:1214:11833:11698/2	chr15:28356359-28361359	3161	-	1	0
@D81P8DQ1:109:D1CW8ACXX:8:1214:14409:33392/2	chr15:28356359-28361359	2719	-	1	0
@D81P8DQ1:109:D1CW8ACXX:8:1214:21379:89479/2	chr15:28356359-28361359	1575	-	1	0
@D81P8DQ1:109:D1CW8ACXX:8:1215:2232:97107/2	chr15:28356359-28361359	2357	+	1	0
@D81P8DQ1:109:D1CW8ACXX:8:1215:2586:25451/2	chr15:28356359-28361359	3390	+	1	1
@D81P8DQ1:109:D1CW8ACXX:8:1215:8817:27941/2	*	0	*	0	*
@D81P8DQ1:109:D1CW8ACXX:8:1215:9726:95810/2	chr15:28356359-28361359	3700	+	1	1
@D81P8DQ1:109:D1CW8ACXX:8:1215:13954:9725/2	chr15:28356359-28361359	4247	-	1	0
@D81P8DQ1:109:D1CW8ACXX:8:1216:2906:98919/2	*	0	*	0	*
@D81P8DQ1:109:D1CW8ACXX:8:1216:10144:94918/2	chr15:28356359-28361359	4355	+	1	1
@D81P8DQ1:109:D1CW8ACXX:8:1216:12658:59599/2	*	0	*	0	*
@D81P8DQ1:109:D1CW8ACXX:8:1216:14118:96957/2	chr15:28356359-28361359	689	+	1	0
@D81P8DQ1:109:D1CW8ACXX:8:1216:14791:40713/2	chr15:28356359-28361359	1668	+	1	0
@D81P8DQ1:109:D1CW8ACXX:8:1216:17003:20631/2	*	0	*	0	*
@D81P8DQ1:109:D1CW8ACXX:8:1216:18593:72556/2	chr15:28356359-28361359	4268	-	1	0
@D81P8DQ1:109:D1CW8ACXX:8:1301:2188:79634/2	chr15:28356359-28361359	2927	-	1	1
@D81P8DQ1:109:D1CW8ACXX:8:1301:2516:75087/2	chr15:28356359-28361359	1885	+	1	2
@D81P8DQ1:109:D1CW8ACXX:8:1301:4630:98871/2	chr15:28356359-28361359	1024	-	1	0
@D81P8DQ1:109:D1CW8ACXX:8:1301:10789:90480/2	*	0	*	0	*
@D81P8DQ1:109:D1CW8ACXX:8:1301:16224:69732/2	chr15:28356359-28361359	799	-	1	1
@D81P8DQ1:109:D1CW8ACXX:8:1302:4989:98556/2	chr15:28356359-28361359	4241	-	1	0
@D81P8DQ1:109:D1CW8ACXX:8:1302:15027:22722/2	chr15:28356359-28361359	2354	-	1	0
@D81P8DQ1:109:D1CW8ACXX:8:1302:17679:98403/2	*	0	*	0	*
@D81P8DQ1:109:D1CW8ACXX:8:1303:9962:20351/2	*	0	*	0	*
@D81P8DQ1:109:D1CW8ACXX:8:1303:11137:55499/2	chr15:28356359-28361359	1179	+	1	0
@D81P8DQ1:109:D1CW8ACXX:8:1303:15872:80440/2	chr15:28356359-28361359	2285	+	1	0
@D81P8DQ1:109:D1CW8ACXX:8:1304:8069:55551/2	chr15:28356359-28361359	1136	-	1	0
@D81P8DQ1:109:D1CW8ACXX:8:1304:10690:62310/2	chr15:28356359-28361359	3237	-	1	0
@D81P8DQ1:109:D1CW8ACXX:8:1304:11627:92948/2	chr15:28356359-28361359	684	-	1	0
@D81P8DQ1:109:D1CW8ACXX:8:1304:16771:72484/2	*	0	*	0	*
@D81P8DQ1:109:D1CW8ACXX:8:1304:18417:41491/2	chr15:28356359-28361359	3090	-	1	0
@D81P8DQ1:109:D1CW8ACXX:8:1305:2060:24554/2	chr15:28356359-28361359	2495	+	1	0
@D81P8DQ1:109:D1CW8ACXX:8:1305:7864:16959/2	*	0	*	0	*
@D81P8DQ1:109:D1CW8ACXX:8:1305:11908:33548/2	chr15:28356359-28361359	2469	+	1	0
@D81P8DQ1:109:D1CW8ACXX:8:1305:13989:47806/2	chr15:28356359-28361359	2911	+	1	0
@D81P8DQ1:109:D1CW8ACXX:8:1305:15580:70422/2	chr15:28356359-28361359	961	+	1	0
@D81P8DQ1:109:D1CW8ACXX:8:1306:11505:99517/2	chr15:28356359-28361359	844	-	1	1
@D81P8DQ1:109:D1CW8ACXX:8:1306:13332:45556/2	*	0	*	0	*
@D81P8DQ1:109:D1CW8ACXX:8:1306:13967:29602/2	*	0	*	0	*
@D81P8DQ1:109:D1CW8ACXX:8:1306:15292:77685/2	chr15:28356359-28361359	1003	-	1	0
@D81P8DQ1:109:D1CW8ACXX:8:1306:20635:39420/2	*	0	*	0	*
@D81P8DQ1:109:D1CW8ACXX:8:1307:2050:80387/2	chr15:28356359-28361359	2584	-	1	1
@D81P8DQ1:109:D1CW8ACXX:8:1307:13658:59598/2	chr15:28356359-28361359	3560	-	1	0
@D81P8DQ1:109:D1CW8ACXX:8:1308:3122:90504/2	*	0	*	0	*
@D81P8DQ1:109:D1CW8ACXX:8:1308:8749:35623/2	chr15:28356359-28361359	1644	+	1	0
@D81P8DQ1:109:D1CW8ACXX:8:1308:15307:82687/2	*	0	*	0	*
@D81P8DQ1:109:D1CW8ACXX:8:1308:15664:59108/2	*	0	*	0	*
@D81P8DQ1:109:D1CW8ACXX:8:1308:19844:43753/2	chr15:28356359-28361359	318	-	1	0
@D81P8DQ1:109:D1CW8ACXX:8:1309:1261:18244/2	*	0	*	0	*
@D81P8DQ1:109:D1CW8ACXX:8:1309:4768:84339/2	chr15:28356359-28361359	4104	-	1	1
@D81P8DQ1:109:D1CW8ACXX:8:1310:12419:74008/2	chr15:28356359-28361359	86	-	1	0
@D81P8DQ1:109:D1CW8ACXX:8:1310:13865:66659/2	chr15:28356359-28361359	3652	+	1	1
@D81P8DQ1:109:D1CW8ACXX:8:1310:17031:4468/2	chr15:28356359-28361359	3556	+	1	0
@D81P8DQ1:109:D1CW8ACXX:8:1310:20592:98933/2	chr15:28356359-28361359	3342	+	1	1
@D81P8DQ1:109:D1CW8ACXX:8:1311:2545:58953/2	chr15:28356359-28361359	2756	+	1	0
@D81P8DQ1:109:D1CW8ACXX:8:1311:3282:71661/2	*	0	*	0	*
@D81P8DQ1:109:D1CW8ACXX:8:1311:6928:63502/2	chr15:28356359-28361359	2559	-	1	0
@D81P8DQ1:109:D1CW8ACXX:8:1311:7460:79760/2	chr15:28356359-28361359	505	+	1	1
@D81P8DQ1:109:D1CW8ACXX:8:1311:9676:61834/2	chr15:28356359-28361359	1522	+	1	0
@D81P8DQ1:109:D1CW8ACXX:8:1311:11988:95009/2	chr15:28356359-28361359	2772	+	1	0
@D81P8DQ1:109:D1CW8ACXX:8:1311:18777:93129/2	chr15:28356359-28361359	3455	+	1	0
@D81P8DQ1:109:D1CW8ACXX:8:1312:1200:38164/2	*	0	*	0	*
@D81P8DQ1:109:D1CW8ACXX:8:1312:7695:49911/2	chr15:28356359-28361359	4754	-	1	2
@D81P8DQ1:109:D1CW8ACXX:8:1312:20655:93417/2	chr15:28356359-28361359	1579	-	1	0
@D81P8DQ1:109:D1CW8ACXX:8:1313:8427:41752/2	chr15:28356359-28361359	1174	-	1	0
@D81P8DQ1:109:D1CW8ACXX:8:1313:10733:12031/2	chr15:28356359-28361359	3021	-	1	0
@D81P8DQ1:109:D1CW8ACXX:8:1313:10938:13471/2	chr15:28356359-28361359	976	+	1	0
@D81P8DQ1:109:D1CW8ACXX:8:1314:6169:92189/2	chr15:28356359-28361359	198	+	1	2
@D81P8DQ1:109:D1CW8ACXX:8:1314:7031:18197/2	chr15:28356359-28361359	2976	+	1	0
@D81P8DQ1:109:D1CW8ACXX:8:1315:4549:48509/2	chr15:28356359-28361359	2238	+	1	0
@D81P8DQ1:109:D1CW8ACXX:8:1315:5746:44750/2	chr15:28356359-28361359	2105	+	1	0
@D81P8DQ1:109:D1CW8ACXX:8:1315:6644:23566/2	chr15:28356359-28361359	443	+	1	1
@D81P8DQ1:109:D1CW8ACXX:8:1315:9472:12035/2	chr15:28356359-28361359	725	-	1	0
@D81P8DQ1:109:D1CW8ACXX:8:1315:12966:4534/2	chr15:28356359-28361359	2256	+	1	0
@D81P8DQ1:109:D1CW8ACXX:8:1315:19802:92698/2	chr15:28356359-28361359	312	+	1	0
@D81P8DQ1:109:D1CW8ACXX:8:1316:2942:57857/2	chr15:28356359-28361359	4598	+	1	1
@D81P8DQ1:109:D1CW8ACXX:8:1316:18313:84693/2	chr15:28356359-28361359	1337	+	1	0
@D81P8DQ1:109:D1CW8ACXX:8:1316:19798:65402/2	*	0	*	0	*
@D81P8DQ1:109:D1CW8ACXX:8:1316:19874:23232/2	chr15:28356359-28361359	2641	+	1	0
@D81P8DQ1:109:D1CW8ACXX:8:1316:20612:91376/2	chr15:28356359-28361359	1507	+	1	0
@D81P8DQ1:109:D1CW8ACXX:8:2101:1944:32047/2	chr15:28356359-28361359	961	+	1	2
@D81P8DQ1:109:D1CW8ACXX:8:2101:4171:15542/2	chr15:28356359-28361359	4696	-	1	1
@D81P8DQ1:109:D1CW8ACXX:8:2101:7090:51588/2	chr15:28356359-28361359	1086	+	1	0
@D81P8DQ1:109:D1CW8ACXX:8:2101:7265:76512/2	chr15:28356359-28361359	4156	+	1	0
@D81P8DQ1:109:D1CW8ACXX:8:2101:13097:25161/2	*	0	*	0	*
@D81P8DQ1:109:D1CW8ACXX:8:2101:14368:95268/2	chr15:28356359-28361359	756	+	1	1
@D81P8DQ1:109:D1CW8ACXX:8:2101:15143:61273/2	chr15:28356359-28361359	2273	+	1	0
@D81P8DQ1:109:D1CW8ACXX:8:2101:16056:3198/2	chr15:28356359-28361359	2780	+	1	0
@D81P8DQ1:109:D1CW8ACXX:8:2101:19550:10909/2	chr15:28356359-28361359	1777	+	1	0
@D81P8DQ1:109:D1CW8ACXX:8:2102:5690:9110/2	chr15:28356359-28361359	2318	+	1	0
@D81P8DQ1:109:D1CW8ACXX:8:2102:11581:24188/2	chr15:28356359-28361359	4069	+	1	0
@D81P8DQ1:109:D1CW8ACXX:8:2103:7577:21525/2	*	0	*	0	*
@D81P8DQ1:109:D1CW8ACXX:8:2103:9908:55574/2	chr15:28356359-28361359	2794	+	1	0
@D81P8DQ1:109:D1CW8ACXX:8:2103:11679:53980/2	chr15:28356359-28361359	4892	-	1	0
@D81P8DQ1:109:D1CW8ACXX:8:2103:13931:94528/2	chr15:28356359-28361359	3020	-	1	0
@D81P8DQ1:109:D1CW8ACXX:8:2104:7391:84510/2	chr15:28356359-28361359	3807	+	1	0
@D81P8DQ1:109:D1CW8ACXX:8:2104:20682:29110/2	chr15:28356359-28361359	4890	-	1	0
@D81P8DQ1:109:D1CW8ACXX:8:2105:11283:98900/2	chr15:28356359-28361359	6	-	1	2
@D81P8DQ1:109:D1CW8ACXX:8:2106:12277:31109/2	*	0	*	0	*
@D81P8DQ1:109:D1CW8ACXX:8:2106:12332:50391/2	*	0	*	0	*
@D81P8DQ1:109:D1CW8ACXX:8:2106:13393:58890/2	chr15:28356359-28361359	1286	+	1	1
@D81P8DQ1:109:D1CW8ACXX:8:2106:18080:28004/2	chr15:28356359-28361359	1523	-	1	0
@D81P8DQ1:109:D1CW8ACXX:8:2106:19463:96616/2	chr15:28356359-28361359	1118	-	1	1
@D81P8DQ1:109:D1CW8ACXX:8:2106:20085:32127/2	chr15:28356359-28361359	2952	-	1	1
@D81P8DQ1:109:D1CW8ACXX:8:2107:4569:41164/2	*	0	*	0	*
@D81P8DQ1:109:D1CW8ACXX:8:2107:14358:81666/2	chr15:28356359-28361359	2640	-	1	2
@D81P8DQ1:109:D1CW8ACXX:8:2107:14901:40813/2	chr15:28356359-28361359	3180	+	1	2
@D81P8DQ1:109:D1CW8ACXX:8:2107:20181:50044/2	*	0	*	0	*
@D81P8DQ1:109:D1CW8ACXX:8:2107:20763:60096/2	chr15:28356359-28361359	1402	+	1	1
@D81P8DQ1:109:D1CW8ACXX:8:2108:3167:54073/2	chr15:28356359-28361359	3842	-	1	2
@D81P8DQ1:109:D1CW8ACXX:8:2108:8508:4458/2	chr15:28356359-28361359	1410	-	1	1
@D81P8DQ1:109:D1CW8ACXX:8:2108:14756:10891/2	*	0	*	0	*
@D81P8DQ1:109:D1CW8ACXX:8:2108:15931:36360/2	*	0	*	0	*
@D81P8DQ1:109:D1CW8ACXX:8:2108:20997:51546/2	chr15:28356359-28361359	4	-	1	1
@D81P8DQ1:109:D1CW8ACXX:8:2109:11143:59373/2	*	0	*	0	*
@D81P8DQ1:109:D1CW8ACXX:8:2109:16798:71646/2	chr15:28356359-28361359	4072	+	1	0
@D81P8DQ1:109:D1CW8ACXX:8:2109:17325:53049/2	chr15:28356359-28361359	216	-	1	0
@D81P8DQ1:109:D1CW8ACXX:8:2109:19365:52117/2	chr15:28356359-28361359	948	+	1	0
@D81P8DQ1:109:D1CW8ACXX:8:2110:4482:27382/2	chr15:28356359-28361359	2807	+	1	1
@D81P8DQ1:109:D1CW8ACXX:8:2110:5681:27948/2	chr15:28356359-28361359	1057	+	1	0
@D81P8DQ1:109:D1CW8ACXX:8:2110:10720:61541/2	*	0	*	0	*
@D81P8DQ1:109:D1CW8ACXX:8:2110:10921:66545/2	*	0	*	0	*
@D81P8DQ1:109:D1CW8ACXX:8:2110:18269:56998/2	chr15:28356359-28361359	1843	-	1	2
@D81P8DQ1:109:D1CW8ACXX:8:2110:19570:99756/2	*	0	*	0	*
@D81P8DQ1:109:D1CW8ACXX:8:2111:4190:62915/2	chr15:28356359-28361359	273	+	1	2
@D81P8DQ1:109:D1CW8ACXX:8:2111:13489:36518/2	*	0	*	0	*
@D81P8DQ1:109:D1CW8ACXX:8:2112:3824:31518/2	chr15:28356359-28361359	3185	+	1	1
@D81P8DQ1:109:D1CW8ACXX:8:2112:3947:89470/2	*	0	*	0	*
@D81P8DQ1:109:D1CW8ACXX:8:2112:4944:46702/2	chr15:28356359-28361359	3369	+	1	2
@D81P8DQ1:109:D1CW8ACXX:8:2112:17488:14101/2	*	0	*	0	*
@D81P8DQ1:109:D1CW8ACXX:8:2113:2345:37535/2	*	0	*	0	*
@D81P8DQ1:109:D1CW8ACXX:8:2113:3774:51621/2	*	0	*	0	*
@D81P8DQ1:109:D1CW8ACXX:8:2113:10229:8856/2	*	0	*	0	*
@D81P8DQ1:109:D1CW8ACXX:8:2113:19440:60021/2	*	0	*	0	*
@D81P8DQ1:109:D1CW8ACXX:8:2113:19778:88756/2	*	0	*	0	*
